"Localidad","SEXO","min","max","value"
"consolidado","Masculino",0,4,40258
"consolidado","Masculino",5,9,41688
"consolidado","Masculino",10,14,43165
"consolidado","Masculino",15,19,48220
"consolidado","Masculino",20,24,48955
"consolidado","Masculino",25,29,46204
"consolidado","Masculino",30,34,41639
"consolidado","Masculino",35,39,40053
"consolidado","Masculino",40,44,32822
"consolidado","Masculino",45,49,30400
"consolidado","Masculino",50,54,30159
"consolidado","Masculino",55,59,27021
"consolidado","Masculino",60,64,21769
"consolidado","Masculino",65,69,16084
"consolidado","Masculino",70,74,11118
"consolidado","Masculino",75,79,7854
"consolidado","Masculino",80,84,5031
"consolidado","Masculino",85,89,2700
"consolidado","Masculino",90,94,1108
"consolidado","Masculino",95,99,352
"consolidado","Masculino",100,200,190
"consolidado","Femenino",0,4,39002
"consolidado","Femenino",5,9,40483
"consolidado","Femenino",10,14,41547
"consolidado","Femenino",15,19,46756
"consolidado","Femenino",20,24,49246
"consolidado","Femenino",25,29,47143
"consolidado","Femenino",30,34,43814
"consolidado","Femenino",35,39,43589
"consolidado","Femenino",40,44,36795
"consolidado","Femenino",45,49,34752
"consolidado","Femenino",50,54,35861
"consolidado","Femenino",55,59,33296
"consolidado","Femenino",60,64,27067
"consolidado","Femenino",65,69,20900
"consolidado","Femenino",70,74,14699
"consolidado","Femenino",75,79,11329
"consolidado","Femenino",80,84,8453
"consolidado","Femenino",85,89,5059
"consolidado","Femenino",90,94,2400
"consolidado","Femenino",95,99,797
"consolidado","Femenino",100,200,325
"Metropolitana","Masculino",0,4,10682
"Metropolitana","Masculino",5,9,11049
"Metropolitana","Masculino",10,14,11750
"Metropolitana","Masculino",15,19,12462
"Metropolitana","Masculino",20,24,11648
"Metropolitana","Masculino",25,29,11069
"Metropolitana","Masculino",30,34,10346
"Metropolitana","Masculino",35,39,9945
"Metropolitana","Masculino",40,44,7637
"Metropolitana","Masculino",45,49,6890
"Metropolitana","Masculino",50,54,6504
"Metropolitana","Masculino",55,59,5721
"Metropolitana","Masculino",60,64,4830
"Metropolitana","Masculino",65,69,3328
"Metropolitana","Masculino",70,74,2149
"Metropolitana","Masculino",75,79,1432
"Metropolitana","Masculino",80,84,860
"Metropolitana","Masculino",85,89,445
"Metropolitana","Masculino",90,94,175
"Metropolitana","Masculino",95,99,65
"Metropolitana","Masculino",100,200,36
"Metropolitana","Femenino",0,4,10348
"Metropolitana","Femenino",5,9,11021
"Metropolitana","Femenino",10,14,11283
"Metropolitana","Femenino",15,19,12130
"Metropolitana","Femenino",20,24,11816
"Metropolitana","Femenino",25,29,11295
"Metropolitana","Femenino",30,34,10638
"Metropolitana","Femenino",35,39,10389
"Metropolitana","Femenino",40,44,8410
"Metropolitana","Femenino",45,49,7556
"Metropolitana","Femenino",50,54,7440
"Metropolitana","Femenino",55,59,7027
"Metropolitana","Femenino",60,64,5588
"Metropolitana","Femenino",65,69,4073
"Metropolitana","Femenino",70,74,2550
"Metropolitana","Femenino",75,79,2013
"Metropolitana","Femenino",80,84,1392
"Metropolitana","Femenino",85,89,819
"Metropolitana","Femenino",90,94,412
"Metropolitana","Femenino",95,99,130
"Metropolitana","Femenino",100,200,50
"Norte - Centro Historico","Masculino",0,4,3951
"Norte - Centro Historico","Masculino",5,9,4145
"Norte - Centro Historico","Masculino",10,14,4248
"Norte - Centro Historico","Masculino",15,19,5269
"Norte - Centro Historico","Masculino",20,24,6121
"Norte - Centro Historico","Masculino",25,29,5764
"Norte - Centro Historico","Masculino",30,34,5264
"Norte - Centro Historico","Masculino",35,39,5326
"Norte - Centro Historico","Masculino",40,44,4437
"Norte - Centro Historico","Masculino",45,49,4182
"Norte - Centro Historico","Masculino",50,54,4528
"Norte - Centro Historico","Masculino",55,59,4449
"Norte - Centro Historico","Masculino",60,64,3895
"Norte - Centro Historico","Masculino",65,69,3078
"Norte - Centro Historico","Masculino",70,74,2262
"Norte - Centro Historico","Masculino",75,79,1585
"Norte - Centro Historico","Masculino",80,84,1140
"Norte - Centro Historico","Masculino",85,89,582
"Norte - Centro Historico","Masculino",90,94,227
"Norte - Centro Historico","Masculino",95,99,80
"Norte - Centro Historico","Masculino",100,200,30
"Norte - Centro Historico","Femenino",0,4,3926
"Norte - Centro Historico","Femenino",5,9,4086
"Norte - Centro Historico","Femenino",10,14,4109
"Norte - Centro Historico","Femenino",15,19,5243
"Norte - Centro Historico","Femenino",20,24,6500
"Norte - Centro Historico","Femenino",25,29,6245
"Norte - Centro Historico","Femenino",30,34,5992
"Norte - Centro Historico","Femenino",35,39,6256
"Norte - Centro Historico","Femenino",40,44,5562
"Norte - Centro Historico","Femenino",45,49,5364
"Norte - Centro Historico","Femenino",50,54,6073
"Norte - Centro Historico","Femenino",55,59,6165
"Norte - Centro Historico","Femenino",60,64,5456
"Norte - Centro Historico","Femenino",65,69,4339
"Norte - Centro Historico","Femenino",70,74,3212
"Norte - Centro Historico","Femenino",75,79,2500
"Norte - Centro Historico","Femenino",80,84,1914
"Norte - Centro Historico","Femenino",85,89,1214
"Norte - Centro Historico","Femenino",90,94,559
"Norte - Centro Historico","Femenino",95,99,212
"Norte - Centro Historico","Femenino",100,200,78
"Riomar","Masculino",0,4,3123
"Riomar","Masculino",5,9,3285
"Riomar","Masculino",10,14,3293
"Riomar","Masculino",15,19,4579
"Riomar","Masculino",20,24,5086
"Riomar","Masculino",25,29,4349
"Riomar","Masculino",30,34,3974
"Riomar","Masculino",35,39,3924
"Riomar","Masculino",40,44,3346
"Riomar","Masculino",45,49,3139
"Riomar","Masculino",50,54,3030
"Riomar","Masculino",55,59,2701
"Riomar","Masculino",60,64,2040
"Riomar","Masculino",65,69,1504
"Riomar","Masculino",70,74,1175
"Riomar","Masculino",75,79,824
"Riomar","Masculino",80,84,487
"Riomar","Masculino",85,89,293
"Riomar","Masculino",90,94,121
"Riomar","Masculino",95,99,33
"Riomar","Masculino",100,200,22
"Riomar","Femenino",0,4,3091
"Riomar","Femenino",5,9,3088
"Riomar","Femenino",10,14,3204
"Riomar","Femenino",15,19,4059
"Riomar","Femenino",20,24,4564
"Riomar","Femenino",25,29,4142
"Riomar","Femenino",30,34,4001
"Riomar","Femenino",35,39,4234
"Riomar","Femenino",40,44,3781
"Riomar","Femenino",45,49,3604
"Riomar","Femenino",50,54,3593
"Riomar","Femenino",55,59,3236
"Riomar","Femenino",60,64,2662
"Riomar","Femenino",65,69,2190
"Riomar","Femenino",70,74,1500
"Riomar","Femenino",75,79,1170
"Riomar","Femenino",80,84,858
"Riomar","Femenino",85,89,537
"Riomar","Femenino",90,94,256
"Riomar","Femenino",95,99,90
"Riomar","Femenino",100,200,28
"Suroccidente","Masculino",0,4,13783
"Suroccidente","Masculino",5,9,13957
"Suroccidente","Masculino",10,14,14174
"Suroccidente","Masculino",15,19,15204
"Suroccidente","Masculino",20,24,15366
"Suroccidente","Masculino",25,29,14999
"Suroccidente","Masculino",30,34,13055
"Suroccidente","Masculino",35,39,12030
"Suroccidente","Masculino",40,44,9968
"Suroccidente","Masculino",45,49,9080
"Suroccidente","Masculino",50,54,8882
"Suroccidente","Masculino",55,59,7764
"Suroccidente","Masculino",60,64,6170
"Suroccidente","Masculino",65,69,4452
"Suroccidente","Masculino",70,74,2908
"Suroccidente","Masculino",75,79,2036
"Suroccidente","Masculino",80,84,1269
"Suroccidente","Masculino",85,89,726
"Suroccidente","Masculino",90,94,294
"Suroccidente","Masculino",95,99,98
"Suroccidente","Masculino",100,200,55
"Suroccidente","Femenino",0,4,13281
"Suroccidente","Femenino",5,9,13423
"Suroccidente","Femenino",10,14,13567
"Suroccidente","Femenino",15,19,15016
"Suroccidente","Femenino",20,24,15772
"Suroccidente","Femenino",25,29,15323
"Suroccidente","Femenino",30,34,13788
"Suroccidente","Femenino",35,39,13166
"Suroccidente","Femenino",40,44,10851
"Suroccidente","Femenino",45,49,10435
"Suroccidente","Femenino",50,54,10501
"Suroccidente","Femenino",55,59,9356
"Suroccidente","Femenino",60,64,7462
"Suroccidente","Femenino",65,69,5472
"Suroccidente","Femenino",70,74,3892
"Suroccidente","Femenino",75,79,2933
"Suroccidente","Femenino",80,84,2191
"Suroccidente","Femenino",85,89,1325
"Suroccidente","Femenino",90,94,648
"Suroccidente","Femenino",95,99,181
"Suroccidente","Femenino",100,200,86
"Suroriental","Masculino",0,4,8719
"Suroriental","Masculino",5,9,9252
"Suroriental","Masculino",10,14,9700
"Suroriental","Masculino",15,19,10706
"Suroriental","Masculino",20,24,10734
"Suroriental","Masculino",25,29,10023
"Suroriental","Masculino",30,34,9000
"Suroriental","Masculino",35,39,8828
"Suroriental","Masculino",40,44,7434
"Suroriental","Masculino",45,49,7109
"Suroriental","Masculino",50,54,7215
"Suroriental","Masculino",55,59,6386
"Suroriental","Masculino",60,64,4834
"Suroriental","Masculino",65,69,3722
"Suroriental","Masculino",70,74,2624
"Suroriental","Masculino",75,79,1977
"Suroriental","Masculino",80,84,1275
"Suroriental","Masculino",85,89,654
"Suroriental","Masculino",90,94,291
"Suroriental","Masculino",95,99,76
"Suroriental","Masculino",100,200,47
"Suroriental","Femenino",0,4,8356
"Suroriental","Femenino",5,9,8865
"Suroriental","Femenino",10,14,9384
"Suroriental","Femenino",15,19,10308
"Suroriental","Femenino",20,24,10594
"Suroriental","Femenino",25,29,10138
"Suroriental","Femenino",30,34,9395
"Suroriental","Femenino",35,39,9544
"Suroriental","Femenino",40,44,8191
"Suroriental","Femenino",45,49,7793
"Suroriental","Femenino",50,54,8254
"Suroriental","Femenino",55,59,7512
"Suroriental","Femenino",60,64,5899
"Suroriental","Femenino",65,69,4826
"Suroriental","Femenino",70,74,3545
"Suroriental","Femenino",75,79,2713
"Suroriental","Femenino",80,84,2098
"Suroriental","Femenino",85,89,1164
"Suroriental","Femenino",90,94,525
"Suroriental","Femenino",95,99,184
"Suroriental","Femenino",100,200,83
